"";"Banque";"Indicateur";"Terme";"Num_Terme";"Annee";"Rubrique";"Information";"Montant"
"91";"AB";"Activite";"Trimestre";3;2021;"Epargne";"Trimestre_Actuel";NA
"92";"AB";"Activite";"Trimestre";3;2021;"Epargne";"Trimestre_Reference";NA
"93";"AB";"Activite";"Trimestre";3;2021;"Epargne";"Arrete_Actuel";1946129
"94";"AB";"Activite";"Trimestre";3;2021;"Epargne";"Arrete_Reference";1727163
"95";"AB";"Activite";"Trimestre";3;2021;"Epargne";"Annee_Reference";1879072
"96";"AB";"Activite";"Trimestre";3;2021;"PA4";"Trimestre_Actuel";NA
"97";"AB";"Activite";"Trimestre";3;2021;"PA4";"Trimestre_Reference";NA
"98";"AB";"Activite";"Trimestre";3;2021;"PA4";"Arrete_Actuel";926503
"99";"AB";"Activite";"Trimestre";3;2021;"PA4";"Arrete_Reference";866071
"100";"AB";"Activite";"Trimestre";3;2021;"PA4";"Annee_Reference";968332
"101";"AB";"Activite";"Trimestre";3;2021;"CAP";"Trimestre_Actuel";NA
"102";"AB";"Activite";"Trimestre";3;2021;"CAP";"Trimestre_Reference";NA
"103";"AB";"Activite";"Trimestre";3;2021;"CAP";"Arrete_Actuel";1056656
"104";"AB";"Activite";"Trimestre";3;2021;"CAP";"Arrete_Reference";1014444
"105";"AB";"Activite";"Trimestre";3;2021;"CAP";"Annee_Reference";1057017
"106";"ATB";"Activite";"Trimestre";3;2021;"PEB";"Trimestre_Actuel";156776
"107";"ATB";"Activite";"Trimestre";3;2021;"PEB";"Trimestre_Reference";147804
"108";"ATB";"Activite";"Trimestre";3;2021;"PEB";"Arrete_Actuel";437827
"109";"ATB";"Activite";"Trimestre";3;2021;"PEB";"Arrete_Reference";471497
"110";"ATB";"Activite";"Trimestre";3;2021;"PEB";"Annee_Reference";619528
"111";"ATB";"Activite";"Trimestre";3;2021;"PR1";"Trimestre_Actuel";109990
"112";"ATB";"Activite";"Trimestre";3;2021;"PR1";"Trimestre_Reference";110862
"113";"ATB";"Activite";"Trimestre";3;2021;"PR1";"Arrete_Actuel";304501
"114";"ATB";"Activite";"Trimestre";3;2021;"PR1";"Arrete_Reference";356900
"115";"ATB";"Activite";"Trimestre";3;2021;"PR1";"Annee_Reference";461463
"116";"ATB";"Activite";"Trimestre";3;2021;"PR2";"Trimestre_Actuel";23023
"117";"ATB";"Activite";"Trimestre";3;2021;"PR2";"Trimestre_Reference";16450
"118";"ATB";"Activite";"Trimestre";3;2021;"PR2";"Arrete_Actuel";60615
"119";"ATB";"Activite";"Trimestre";3;2021;"PR2";"Arrete_Reference";48566
"120";"ATB";"Activite";"Trimestre";3;2021;"PR2";"Annee_Reference";69056
"121";"ATB";"Activite";"Trimestre";3;2021;"PR3_4";"Trimestre_Actuel";23763
"122";"ATB";"Activite";"Trimestre";3;2021;"PR3_4";"Trimestre_Reference";20492
"123";"ATB";"Activite";"Trimestre";3;2021;"PR3_4";"Arrete_Actuel";72711
"124";"ATB";"Activite";"Trimestre";3;2021;"PR3_4";"Arrete_Reference";66031
"125";"ATB";"Activite";"Trimestre";3;2021;"PR3_4";"Annee_Reference";89009
"126";"ATB";"Activite";"Trimestre";3;2021;"CEB";"Trimestre_Actuel";79810
"127";"ATB";"Activite";"Trimestre";3;2021;"CEB";"Trimestre_Reference";85543
"128";"ATB";"Activite";"Trimestre";3;2021;"CEB";"Arrete_Actuel";231435
"129";"ATB";"Activite";"Trimestre";3;2021;"CEB";"Arrete_Reference";276277
"130";"ATB";"Activite";"Trimestre";3;2021;"CEB";"Annee_Reference";357505
"131";"ATB";"Activite";"Trimestre";3;2021;"CH1";"Trimestre_Actuel";76527
"132";"ATB";"Activite";"Trimestre";3;2021;"CH1";"Trimestre_Reference";82726
