Banque;Indicateur;Terme;Num_Terme;Annee;Rubrique;Information;Montant
AB;Bilan;Semestre;1;2009;CP1;Arrete_Actuel;85000
AB;Bilan;Semestre;1;2009;CP1;Arrete_Reference;85000
AB;Bilan;Semestre;1;2009;CP2;Annee_Reference;178897
AB;Bilan;Semestre;1;2009;CP2;Arrete_Actuel;209531
AB;Bilan;Semestre;1;2009;CP2;Arrete_Reference;178954
AB;Bilan;Semestre;1;2009;CP3;Annee_Reference;NA
AB;Bilan;Semestre;1;2009;CP3;Arrete_Actuel;NA
AB;Bilan;Semestre;1;2009;CP3;Arrete_Reference;NA
AB;Bilan;Semestre;1;2009;CP4;Annee_Reference;423
AB;Bilan;Semestre;1;2009;CP4;Arrete_Actuel;423
AB;Bilan;Semestre;1;2009;CP4;Arrete_Reference;423
AB;Bilan;Semestre;1;2009;CP5;Annee_Reference;1
AB;Bilan;Semestre;1;2009;CP5;Arrete_Actuel;1
AB;Bilan;Semestre;1;2009;CP5;Arrete_Reference;1
AB;Bilan;Semestre;1;2009;CP6;Annee_Reference;40090
AB;Bilan;Semestre;1;2009;CP6;Arrete_Actuel;20008
AB;Bilan;Semestre;1;2009;CP6;Arrete_Reference;17328
AB;Bilan;Semestre;1;2009;CP7;Annee_Reference;NA
AB;Bilan;Semestre;1;2009;CP7;Arrete_Actuel;NA
AB;Bilan;Semestre;1;2009;CP7;Arrete_Reference;NA
AB;Bilan;Semestre;1;2009;CPP;Annee_Reference;3245989
AB;Bilan;Semestre;1;2009;CPP;Arrete_Actuel;3625729
AB;Bilan;Semestre;1;2009;CPP;Arrete_Reference;3073217
AB;Bilan;Semestre;1;2009;PA1;Annee_Reference;NA
AB;Bilan;Semestre;1;2009;PA1;Arrete_Actuel;NA
AB;Bilan;Semestre;1;2009;PA1;Arrete_Reference;12002
AB;Bilan;Semestre;1;2009;PA2;Annee_Reference;80277
AB;Bilan;Semestre;1;2009;PA2;Arrete_Actuel;86661
AB;Bilan;Semestre;1;2009;PA2;Arrete_Reference;77925
AB;Bilan;Semestre;1;2009;PA3;Annee_Reference;2440681
AB;Bilan;Semestre;1;2009;PA3;Arrete_Actuel;2832474
AB;Bilan;Semestre;1;2009;PA3;Arrete_Reference;2374268
AB;Bilan;Semestre;1;2009;PA4;Annee_Reference;306835
AB;Bilan;Semestre;1;2009;PA4;Arrete_Actuel;299457
AB;Bilan;Semestre;1;2009;PA4;Arrete_Reference;305021
AB;Bilan;Semestre;1;2009;PA5;Annee_Reference;113785
AB;Bilan;Semestre;1;2009;PA5;Arrete_Actuel;92174
AB;Bilan;Semestre;1;2009;PA5;Arrete_Reference;22295
AB;Bilan;Semestre;1;2009;PAS;Annee_Reference;2941578
AB;Bilan;Semestre;1;2009;PAS;Arrete_Actuel;3310766
AB;Bilan;Semestre;1;2009;PAS;Arrete_Reference;2791511
AB;Bilan;Semestre;1;2010;AC1;Annee_Reference;208198
AB;Bilan;Semestre;1;2010;AC1;Arrete_Actuel;266190
AB;Bilan;Semestre;1;2010;AC1;Arrete_Reference;194815
AB;Bilan;Semestre;1;2010;AC2;Annee_Reference;154443
AB;Bilan;Semestre;1;2010;AC2;Arrete_Actuel;184003
AB;Bilan;Semestre;1;2010;AC2;Arrete_Reference;170097
AB;Bilan;Semestre;1;2010;AC3;Annee_Reference;2951946
AB;Bilan;Semestre;1;2010;AC3;Arrete_Actuel;3448489
AB;Bilan;Semestre;1;2010;AC3;Arrete_Reference;2648348
AB;Bilan;Semestre;1;2010;AC4;Annee_Reference;114251
AB;Bilan;Semestre;1;2010;AC4;Arrete_Actuel;215804
AB;Bilan;Semestre;1;2010;AC4;Arrete_Reference;106448
AB;Bilan;Semestre;1;2010;AC5;Annee_Reference;450203
AB;Bilan;Semestre;1;2010;AC5;Arrete_Actuel;354517
AB;Bilan;Semestre;1;2010;AC5;Arrete_Reference;376479
AB;Bilan;Semestre;1;2010;AC6;Annee_Reference;102203
AB;Bilan;Semestre;1;2010;AC6;Arrete_Actuel;108300
AB;Bilan;Semestre;1;2010;AC6;Arrete_Reference;101357
AB;Bilan;Semestre;1;2010;AC7;Annee_Reference;61251
AB;Bilan;Semestre;1;2010;AC7;Arrete_Actuel;47613
AB;Bilan;Semestre;1;2010;AC7;Arrete_Reference;28185
AB;Bilan;Semestre;1;2010;ACT;Annee_Reference;4042495
AB;Bilan;Semestre;1;2010;ACT;Arrete_Actuel;4624916
AB;Bilan;Semestre;1;2010;ACT;Arrete_Reference;3625729
AB;Bilan;Semestre;1;2010;CAP;Annee_Reference;350914
AB;Bilan;Semestre;1;2010;CAP;Arrete_Actuel;366599
AB;Bilan;Semestre;1;2010;CAP;Arrete_Reference;314963
AB;Bilan;Semestre;1;2010;CP1;Annee_Reference;1,00E+05
AB;Bilan;Semestre;1;2010;CP1;Arrete_Actuel;1,00E+05
AB;Bilan;Semestre;1;2010;CP1;Arrete_Reference;85000
AB;Bilan;Semestre;1;2010;CP2;Annee_Reference;205388
AB;Bilan;Semestre;1;2010;CP2;Arrete_Actuel;238497
AB;Bilan;Semestre;1;2010;CP2;Arrete_Reference;209531
AB;Bilan;Semestre;1;2010;CP3;Annee_Reference;NA
AB;Bilan;Semestre;1;2010;CP3;Arrete_Actuel;NA
AB;Bilan;Semestre;1;2010;CP3;Arrete_Reference;NA
AB;Bilan;Semestre;1;2010;CP4;Annee_Reference;423
AB;Bilan;Semestre;1;2010;CP4;Arrete_Actuel;423
AB;Bilan;Semestre;1;2010;CP4;Arrete_Reference;423
AB;Bilan;Semestre;1;2010;CP5;Annee_Reference;1
AB;Bilan;Semestre;1;2010;CP5;Arrete_Actuel;1
AB;Bilan;Semestre;1;2010;CP5;Arrete_Reference;1
AB;Bilan;Semestre;1;2010;CP6;Annee_Reference;45102
AB;Bilan;Semestre;1;2010;CP6;Arrete_Actuel;27678
AB;Bilan;Semestre;1;2010;CP6;Arrete_Reference;20008
AB;Bilan;Semestre;1;2010;CP7;Annee_Reference;NA
AB;Bilan;Semestre;1;2010;CP7;Arrete_Actuel;NA
AB;Bilan;Semestre;1;2010;CP7;Arrete_Reference;NA
AB;Bilan;Semestre;1;2010;CPP;Annee_Reference;4042495
AB;Bilan;Semestre;1;2010;CPP;Arrete_Actuel;4624916
AB;Bilan;Semestre;1;2010;CPP;Arrete_Reference;3625729
AB;Bilan;Semestre;1;2010;PA1;Annee_Reference;NA
AB;Bilan;Semestre;1;2010;PA1;Arrete_Actuel;65017
AB;Bilan;Semestre;1;2010;PA1;Arrete_Reference;NA
AB;Bilan;Semestre;1;2010;PA2;Annee_Reference;250352
AB;Bilan;Semestre;1;2010;PA2;Arrete_Actuel;192045
AB;Bilan;Semestre;1;2010;PA2;Arrete_Reference;86661
AB;Bilan;Semestre;1;2010;PA3;Annee_Reference;2962197
